case,variant,repeat,mean_tick_ms,p50_tick_ms,p95_tick_ms,max_tick_ms,mean_call_ms,observed_tps,main_cpu_ms,worker_cpu_ms,gc_millis,gc_collections,checksum,jar_sha256,harness_sha256,evidence_directory
potential_xlarge,leaf,2,36.927534605,35.323273,42.621177,135.28953,1.120003275,19.80406480917599,7507.777863,0.0,0,0,2790120445941051663,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/leaf-2
sensor_dense,esco4,1,19.44878676,17.235353,31.226831,49.348396,1.71204065125,20.0,3902.705145,0.0,0,0,-182164348303029187,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_dense/esco4-1
sensor_dense,esco4,2,21.2299782,17.953302,29.948249,258.401635,1.8157166150000001,20.0,4283.671842,0.0,0,0,-182164348303029187,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_dense/esco4-2
sensor_dense,esco_all,1,35.445011725,17.614211,59.731649,824.53618,2.6456426575,15.274315847620544,7619.54495,0.0,0,0,-182164348303029187,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_dense/esco_all-1
sensor_dense,esco_all,2,78.40244085,18.849628,34.327578,11375.663351,15.867553353750003,9.477590717239243,15628.425499,0.0,0,0,-182164348303029187,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_dense/esco_all-2
sensor_dense,leaf,1,19.96009444,17.710635,26.846653,118.385139,1.8366438125,20.0,3952.716211,0.0,0,0,-182164348303029187,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_dense/leaf-1
sensor_dense,leaf,2,19.93829993,18.301162,23.619759,156.326109,1.91265542,20.0,4047.810876,0.0,0,0,-182164348303029187,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_dense/leaf-2
sensor_large,esco4,1,92.511889875,83.603459,116.837194,446.681078,7.4112260275,10.793535388108204,18453.153335,0.0,49,1,-8191274713833297351,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_large/esco4-1
sensor_large,esco4,2,89.94730868500001,85.193374,122.296367,149.238683,7.39543531125,11.104840331163219,17925.96398,0.0,43,1,-8191274713833297351,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_large/esco4-2
sensor_large,esco_all,1,92.28085346,86.48252,125.527358,137.989344,7.89399971125,10.824957947181717,18406.038628,0.0,44,1,-8191274713833297351,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_large/esco_all-1
sensor_large,esco_all,2,90.02949088,84.501738,110.109053,488.786074,7.70217524875,11.085635711152786,17991.180135,0.0,40,1,-8191274713833297351,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_large/esco_all-2
sensor_large,leaf,1,91.63809364000001,88.690021,109.960013,172.851842,8.114129816250001,10.900463100190457,18276.084328,0.0,59,2,-8191274713833297351,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_large/leaf-1
sensor_large,leaf,2,90.01197078999999,87.538078,103.128097,133.238143,8.10098904875,11.09718803092972,17994.904196,0.0,12,1,-8191274713833297351,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,sensor_large/leaf-2
